INFO 2024-03-07 17:46:48,740 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-07 17:46:48,740 autoreload Waiting for apps ready_event.
DEBUG 2024-03-07 17:46:48,855 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\23\daylyplanner\backend\accounts\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\accounts\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,948 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\ipaddress.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1704709164.602254
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\markupsafe\_speedups.cp312-win_amd64.pyd first seen with mtime 1704707721.0220313
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1704709161.2731712
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\__future__.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\DLLs\_asyncio.pyd first seen with mtime 1707235852.0
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1704709164.3312545
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1704709164.6072533
DEBUG 2024-03-07 17:46:49,076 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,076 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,076 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1704709161.5481713
